,id_item,nm_item,cd_ean,varejo
0,26745075,"REFR GUARANA ANTARC 3,000ML",7891991014861 ,RDW_ARCOS
1,7650106,"REFRIGERANTE ANTARCTICA PET 3,3LT GUARANA",7891991014861 ,RDW_ARCOS
0,26039669,REF ANTARCTICA GUARANA 3LT,7891991014861 ,RDW_BAHAMAS
0,35024352,REFRIGERANTE PET ANTARCTICA 3L GUARANA,7891991014861 ,RDW_BARCELOSECIA
0,26060359,Refrig.Guarana Antarctica 3l 181370,7891991014861 ,RDW_BERGAMINI
0,24998744,REFRIGERANTE 3L PET GUARANA ANTARCTICA,7891991014861 ,RDW_BIGBOX
0,29263064,REFRIG.ANTARCTICA 3L GUARANA,7891991014861 ,RDW_BISTEK
0,26324126,REFRIG.ANTARCTICA GUARANA 3L,7891991014861 ,RDW_BOASUPERMERCADOS
0,26052645,REFRIG.GUARANA ANTARTICA PET         4X3,7891991014861 ,RDW_BRAMIL
0,26134808,REFRIG GUARANA ANTARCTICA PET 3L,7891991014861 ,RDW_CARREFOUR
0,26074079,REFRIG PET ANTARCTICA GUARANA,7891991014861 ,RDW_CAVICCHIOLLI
0,32949352,REFRIG PET ANTARCTICA GUAR TRAD 3L,7891991014861 ,RDW_CEMA
0,25714526,REFRIGERANTE GUARANA ANTARCTICA PET 3l,7891991014861 ,RDW_CENCOSUDBRASIL
0,29436684,REFRIG ANTARCTICA 3L GUAR,7891991014861 ,RDW_COMERCIALZAFFARI
0,29436684,REFRIG ANTARCTICA 3L GUAR,7891991014861 ,RDW_COMERCIALZAFFARI
0,26723348,REFRIG.ANTAR.GUARANA 3L,7891991014861 ,RDW_CONFIANCA
0,26286520,REFR GUARANA ANTARCTICA 3L,7891991014861 ,RDW_COOP
0,26286520,REFR GUARANA ANTARCTICA 3L,7891991014861 ,RDW_COOP
0,26141226,REFRIG. ANTARCTICA GUARANA PET 3LT,7891991014861 ,RDW_COVABRA
0,25838047,REFR GUARANA ANTAR 3L,7891991014861 ,RDW_DAVO
0,28990351,REFRIG.ANTARCTICA 3L GUARANA PET,7891991014861 ,RDW_DELMORO
0,25716540,REF ANTARC 3L GUARANA,7891991014861 ,RDW_DELTAMAX
0,26286225,REF. ANTARCT. GUARANA PET 3L (M),7891991014861 ,RDW_ENXUTO
0,25743262,REFRIG GUARANA ANTARCTICA 3L,7891991014861 ,RDW_EXTRABOM_V2
0,33523268,REFRIG GUARANA ANTARCTICA PET 3L,7891991014861 ,RDW_FLORESTA
1,32913276,REFRIG GUARANA ANTARCTICA PET 3L,7891991014861 ,RDW_FLORESTA
0,27251091,REFRIG GUARANA ANTARCTICA PET 3L,7891991014861 ,RDW_FRANGOLANDIA
1,34920149,REFRIG GUARANA ANTARCTICA PET 3L,7891991014861 ,RDW_FRANGOLANDIA
0,29889120,REFRIG. ANTARCTICA GUARANA      FC    3L,7891991014861 ,RDW_GIASSI
0,34857814,REFRI GUARANA ANTARCTICA 3L PET,7891991014861 ,RDW_GRUPOABV
0,31202981,REFRIGERANTE GUARANA ANTARTICA 3L,7891991014861 ,RDW_IMPERATRIZ
0,26054921,REFRIG ANTARCTICA GUARANA PET 3L,7891991014861 ,RDW_IRMAOSLOPES
0,29549314,REFRIG ANTARCTICA GUARANA PET 3L,7891991014861 ,RDW_MUFFATO
0,31940042,REF ANTARC PET 3L GUARANA,7891991014861 ,RDW_PERALTACOMERCIOI
1,32545847,REF ANTARC PET 3L GUARANA,7891991014861 ,RDW_PERALTACOMERCIOI
0,31426482,REFR.ANTARCTICA GUARANA 3LT,7891991014861 ,RDW_SAOROQUE
0,26371089,REFRIG ANTARCT 3L PET GUARANA,7891991014861 ,RDW_SAVEGNAGO
0,25829488,REF ANTARCTICA PET 3L,7891991014861 ,RDW_SUPERARAUJO
0,29823760,REFRI ANTARCTICA GUARANA 3L,7891991014861 ,RDW_SUPERBARBOSA
0,26743674,REF GUARANA ANTARCTICA 3L TRA,7891991014861 ,RDW_SUPERDOPOVO
0,29918488,REFRI ANT GUARANA PET 3L,7891991014861 ,RDW_SUPERKOCH
0,27502192,REFRIG ANTARCTICA GUARANA 3L,7891991014861 ,RDW_SUPERLAGOA
0,27502192,REFRIG ANTARCTICA GUARANA 3L,7891991014861 ,RDW_SUPERLAGOA
0,602998,REFRIG ANTARCTICA 3L-PET GUARANA TRAD,7891991014861 ,RDW_SUPERNOSSO
0,26131537,REFRIG ANTARCTICA 3L PET GUARANA,7891991014861 ,RDW_SUPERPAGUEMENOS
0,30971334,REFRIG.ANTARCT.GUARANA 3L PET,7891991014861 ,RDW_SUPERPINHEIRO
0,29163895,REFRIG ANTARCTICA 003 LI GUARANA,7891991014861 ,RDW_TONIN
0,29265081,REFR ANTAR GUAR PET 3L,7891991014861 ,RDW_UNIDASUL
0,31828445,REFRIG ANTARCTICA GUAR 3000ML PET,7891991014861 ,RDW_VANGUARDA
0,25328870,GUARANA ANT,7891991014861 ,RDW_WALMARTBRASIL
1,29265671,GUARANA ANT,7891991014861 ,RDW_WALMARTBRASIL
2,28444588,GUARANA ANT,7891991014861 ,RDW_WALMARTBRASIL
3,25233376,GUARANA ANT,7891991014861 ,RDW_WALMARTBRASIL
4,26068167,GUARANA ANTARCTICA 3L,7891991014861 ,RDW_WALMARTBRASIL
5,30083253,GUARANA ANT,7891991014861 ,RDW_WALMARTBRASIL
6,28444523,GUARANA ANT,7891991014861 ,RDW_WALMARTBRASIL
7,30023354,GUARANA ANT,7891991014861 ,RDW_WALMARTBRASIL
